Region,LHIN,# Critical Care Beds,# Critical Care Patients,# Baseline Vented Beds,# Expanded Vented Beds,# Vented Patients,% Ventilator Capacity Remaining,# Suspected COVID-19,# Confirmed Positive COVID-19,# Confirmed Positive COVID-19 Patients with Invasive Ventilation,# Patients in Expanded ICU,# COVID Positive Patients in Expanded ICU
West,L1: ESC,87,48,73,123,19,15.4%,10,6,6,3
West,L2: SW,187,122,98,255,33,12.9%,26,5,4,7
West,L3: WW,98,74,58,119,24,20.2%,13,12,6,6
West,L4: HNHB,271,177,172,358,51,14.2%,21,7,4,6
Central,L5: CW,68,46,26,86,20,23.3%,8,15,12,4
Central,L6: MH,130,101,116,178,61,34.3%,20,19,16,7
Central,L8: Central,153,134,130,255,75,29.4%,30,41,30,16
Central,L12: NSM,48,27,26,83,7,8.4%,10,0,0,3
Toronto,L7: Toronto,373,287,266,487,122,25.1%,61,54,43,26
East,L9: CE,163,110,109,224,57,25.4%,35,25,20,18
East,L10: SE,103,78,57,121,25,20.7%,6,0,0,4
East,L11: Champlain,199,131,119,297,35,11.8%,39,9,6,7
North,L13: NE,102,53,53,137,10,7.3%,16,1,0,4
North,L14: NW,30,15,16,41,0,0.0%,1,0,0,0
