Region,LHIN,# Critical Care Beds,# Critical Care Patients,# Baseline Vented Beds,# Expanded Vented Beds,# Vented Patients,% Ventilator Capacity Remaining,# Suspected COVID-19,# Confirmed Positive COVID-19,# Confirmed Positive COVID-19 Patients with Invasive Ventilation,# Patients in Expanded ICU,# COVID Positive Patients in Expanded ICU
West,L1: ESC,87,54,73,119,12,10.1%,23,4,3,6
West,L2: SW,187,133,98,261,32,12.3%,26,1,0,7
West,L3: WW,98,71,58,119,21,17.6%,19,9,5,6
West,L4: HNHB,271,193,172,387,50,12.9%,32,10,5,7
Central,L5: CW,68,52,26,47,23,48.9%,7,18,12,3
Central,L6: MH,130,102,116,178,51,28.7%,15,15,13,9
Central,L8: Central,153,132,130,255,74,29.0%,29,39,31,13
Central,L12: NSM,48,26,26,84,11,13.1%,9,1,0,4
Toronto,L7: Toronto,373,300,266,411,147,35.8%,62,52,47,30
East,L9: CE,163,118,109,226,65,28.8%,47,22,16,24
East,L10: SE,103,82,57,116,23,19.8%,9,0,0,2
East,L11: Champlain,199,139,119,309,39,12.6%,34,8,3,6
North,L13: NE,102,62,53,137,8,5.8%,19,0,0,0
North,L14: NW,30,14,16,41,2,4.9%,0,0,0,0
